AUTHOR,HOMONYMOUS,OPENALEX_AUTHOR_NAME,AUTHOR_ID,WORKS_API_URL
Kenneth I. Wolpin,0,Kenneth I. Wolpin,https://openalex.org/A5054788153,https://api.openalex.org/works?filter=author.id:A5054788153
Eve M. Ringsmuth,0,Eve M. Ringsmuth,https://openalex.org/A5084903274,https://api.openalex.org/works?filter=author.id:A5084903274
Sarah R. Brauner-Otto,0,Sarah R. Brauner-Otto,https://openalex.org/A5032137841,https://api.openalex.org/works?filter=author.id:A5032137841
Irshad Altheimer,0,Irshad Altheimer,https://openalex.org/A5061265501,https://api.openalex.org/works?filter=author.id:A5061265501
Jennifer LoCasale-Crouch,0,Jennifer LoCasale-Crouch,https://openalex.org/A5024372120,https://api.openalex.org/works?filter=author.id:A5024372120
Stephen P. Zeldes,0,Stephen P. Zeldes,https://openalex.org/A5036984578,https://api.openalex.org/works?filter=author.id:A5036984578
Charlotte Van Tuyckom,0,Charlotte Van Tuyckom,https://openalex.org/A5074793154,https://api.openalex.org/works?filter=author.id:A5074793154
Sophia Catsambis,0,Sophia Catsambis,https://openalex.org/A5058515445,https://api.openalex.org/works?filter=author.id:A5058515445
Pamela Johnston Conover,0,Pamela Johnston Conover,https://openalex.org/A5012530113,https://api.openalex.org/works?filter=author.id:A5012530113
Philip E. Secret,0,Philip E. Secret,https://openalex.org/A5018607138,https://api.openalex.org/works?filter=author.id:A5018607138
Alan L. Gustman,0,Alan L. Gustman,https://openalex.org/A5007302944,https://api.openalex.org/works?filter=author.id:A5007302944
Stephan Heblich,0,Stephan Heblich,https://openalex.org/A5005983059,https://api.openalex.org/works?filter=author.id:A5005983059
Irma T. Elo,0,Irma T. Elo,https://openalex.org/A5031579791,https://api.openalex.org/works?filter=author.id:A5031579791
Paul Nieuwbeerta,0,Paul Nieuwbeerta,https://openalex.org/A5061023793,https://api.openalex.org/works?filter=author.id:A5061023793
Reiner Rugulies,0,Reiner Rugulies,https://openalex.org/A5075649379,https://api.openalex.org/works?filter=author.id:A5075649379
Caroline M. Nievergelt,0,Caroline M. Nievergelt,https://openalex.org/A5025127395,https://api.openalex.org/works?filter=author.id:A5025127395
Ola Listhaug,0,Ola Listhaug,https://openalex.org/A5021330653,https://api.openalex.org/works?filter=author.id:A5021330653
Matthew J. Breiding,0,Matthew J. Breiding,https://openalex.org/A5065891317,https://api.openalex.org/works?filter=author.id:A5065891317
Nancy C. Brahm,0,Nancy C. Brahm,https://openalex.org/A5079734047,https://api.openalex.org/works?filter=author.id:A5079734047
Peter R. Giancola,0,Peter R. Giancola,https://openalex.org/A5069169261,https://api.openalex.org/works?filter=author.id:A5069169261
Gabriella Agrusti,0,Gabriella Agrusti,https://openalex.org/A5024243067,https://api.openalex.org/works?filter=author.id:A5024243067
Yaacov Schul,0,Yaacov Schul,https://openalex.org/A5010689892,https://api.openalex.org/works?filter=author.id:A5010689892
David Marcusson-Clavertz,0,David Marcusson-Clavertz,https://openalex.org/A5049318241,https://api.openalex.org/works?filter=author.id:A5049318241
Mark J. Papania,0,Mark J. Papania,https://openalex.org/A5037726770,https://api.openalex.org/works?filter=author.id:A5037726770
Wesley G. Skogan,0,Wesley G. Skogan,https://openalex.org/A5000437927,https://api.openalex.org/works?filter=author.id:A5000437927
Pamela Kato Klebanov,0,Pamela Kato Klebanov,https://openalex.org/A5048636776,https://api.openalex.org/works?filter=author.id:A5048636776
Hans Rattinger,0,Hans Rattinger,https://openalex.org/A5087426409,https://api.openalex.org/works?filter=author.id:A5087426409
Patrick Bernhagen,0,Patrick Bernhagen,https://openalex.org/A5021438729,https://api.openalex.org/works?filter=author.id:A5021438729
David T. Felson,0,David T. Felson,https://openalex.org/A5023227957,https://api.openalex.org/works?filter=author.id:A5023227957
Thomas A. Remble,0,Thomas A. Remble,https://openalex.org/A5032284311,https://api.openalex.org/works?filter=author.id:A5032284311
Jesse R. Cougle,0,Jesse R. Cougle,https://openalex.org/A5064671518,https://api.openalex.org/works?filter=author.id:A5064671518
Carl G. Leukefeld,0,Carl G. Leukefeld,https://openalex.org/A5001078074,https://api.openalex.org/works?filter=author.id:A5001078074
Dorothy L. Espelage,0,Dorothy L. Espelage,https://openalex.org/A5083047406,https://api.openalex.org/works?filter=author.id:A5083047406
